cls_token                                                    | shape: (1, 1, 768)
decoder_blocks.3.mlp.fc1.weight                              | shape: (2048, 512)
decoder_blocks.3.mlp.fc1.bias                                | shape: (2048,)
decoder_blocks.3.mlp.fc2.weight                              | shape: (512, 2048)
decoder_blocks.3.mlp.fc2.bias                                | shape: (512,)
decoder_blocks.3.norm2.weight                                | shape: (512,)
decoder_blocks.3.norm2.bias                                  | shape: (512,)
decoder_blocks.4.attn.tau                                    | shape: (16,)
decoder_blocks.4.attn.qkv.weight                             | shape: (1536, 512)
decoder_blocks.4.attn.qkv.bias                               | shape: (1536,)
decoder_blocks.4.attn.proj.weight                            | shape: (512, 512)
decoder_blocks.4.attn.proj.bias                              | shape: (512,)
decoder_blocks.4.attn.meta_mlp.fc1.weight                    | shape: (384, 2)
decoder_blocks.4.attn.meta_mlp.fc1.bias                      | shape: (384,)
decoder_blocks.4.attn.meta_mlp.fc2.weight                    | shape: (16, 384)
decoder_blocks.4.attn.meta_mlp.fc2.bias                      | shape: (16,)
decoder_blocks.4.norm1.weight                                | shape: (512,)
decoder_blocks.4.norm1.bias                                  | shape: (512,)
decoder_blocks.4.mlp.fc1.weight                              | shape: (2048, 512)
decoder_blocks.4.mlp.fc1.bias                                | shape: (2048,)
decoder_blocks.4.mlp.fc2.weight                              | shape: (512, 2048)
decoder_blocks.4.mlp.fc2.bias                                | shape: (512,)
decoder_blocks.4.norm2.weight                                | shape: (512,)
decoder_blocks.4.norm2.bias                                  | shape: (512,)
decoder_blocks.5.attn.tau                                    | shape: (16,)
decoder_blocks.5.attn.qkv.weight                             | shape: (1536, 512)
decoder_blocks.5.attn.qkv.bias                               | shape: (1536,)
decoder_blocks.5.attn.proj.weight                            | shape: (512, 512)
decoder_blocks.5.attn.proj.bias                              | shape: (512,)
decoder_blocks.5.attn.meta_mlp.fc1.weight                    | shape: (384, 2)
decoder_blocks.5.attn.meta_mlp.fc1.bias                      | shape: (384,)
decoder_blocks.5.attn.meta_mlp.fc2.weight                    | shape: (16, 384)
decoder_blocks.5.attn.meta_mlp.fc2.bias                      | shape: (16,)
decoder_blocks.5.norm1.weight                                | shape: (512,)
decoder_blocks.5.norm1.bias                                  | shape: (512,)
decoder_blocks.5.mlp.fc1.weight                              | shape: (2048, 512)
decoder_blocks.5.mlp.fc1.bias                                | shape: (2048,)
decoder_blocks.5.mlp.fc2.weight                              | shape: (512, 2048)
decoder_blocks.5.mlp.fc2.bias                                | shape: (512,)
decoder_blocks.5.norm2.weight                                | shape: (512,)
decoder_blocks.5.norm2.bias                                  | shape: (512,)
decoder_blocks.6.attn.tau                                    | shape: (16,)
decoder_blocks.6.attn.qkv.weight                             | shape: (1536, 512)
decoder_blocks.6.attn.qkv.bias                               | shape: (1536,)
decoder_blocks.6.attn.proj.weight                            | shape: (512, 512)
decoder_blocks.6.attn.proj.bias                              | shape: (512,)
decoder_blocks.6.attn.meta_mlp.fc1.weight                    | shape: (384, 2)
decoder_blocks.6.attn.meta_mlp.fc1.bias                      | shape: (384,)
decoder_blocks.6.attn.meta_mlp.fc2.weight                    | shape: (16, 384)
decoder_blocks.6.attn.meta_mlp.fc2.bias                      | shape: (16,)
decoder_blocks.6.norm1.weight                                | shape: (512,)
decoder_blocks.6.norm1.bias                                  | shape: (512,)
decoder_blocks.6.mlp.fc1.weight                              | shape: (2048, 512)
decoder_blocks.6.mlp.fc1.bias                                | shape: (2048,)
decoder_blocks.6.mlp.fc2.weight                              | shape: (512, 2048)
decoder_blocks.6.mlp.fc2.bias                                | shape: (512,)
decoder_blocks.6.norm2.weight                                | shape: (512,)
decoder_blocks.6.norm2.bias                                  | shape: (512,)
decoder_blocks.7.attn.tau                                    | shape: (16,)
decoder_blocks.7.attn.qkv.weight                             | shape: (1536, 512)
decoder_blocks.7.attn.qkv.bias                               | shape: (1536,)
decoder_blocks.7.attn.proj.weight                            | shape: (512, 512)
decoder_blocks.7.attn.proj.bias                              | shape: (512,)
decoder_blocks.7.attn.meta_mlp.fc1.weight                    | shape: (384, 2)
decoder_blocks.7.attn.meta_mlp.fc1.bias                      | shape: (384,)
decoder_blocks.7.attn.meta_mlp.fc2.weight                    | shape: (16, 384)
decoder_blocks.7.attn.meta_mlp.fc2.bias                      | shape: (16,)
decoder_blocks.7.norm1.weight                                | shape: (512,)
decoder_blocks.7.norm1.bias                                  | shape: (512,)
decoder_blocks.7.mlp.fc1.weight                              | shape: (2048, 512)
decoder_blocks.7.mlp.fc1.bias                                | shape: (2048,)
decoder_blocks.7.mlp.fc2.weight                              | shape: (512, 2048)
decoder_blocks.7.mlp.fc2.bias                                | shape: (512,)
decoder_blocks.7.norm2.weight                                | shape: (512,)
decoder_blocks.7.norm2.bias                                  | shape: (512,)
decoder_blocks.8.attn.tau                                    | shape: (16,)
decoder_blocks.8.attn.qkv.weight                             | shape: (1536, 512)
decoder_blocks.8.attn.qkv.bias                               | shape: (1536,)
decoder_blocks.8.attn.proj.weight                            | shape: (512, 512)
decoder_blocks.8.attn.proj.bias                              | shape: (512,)
decoder_blocks.8.attn.meta_mlp.fc1.weight                    | shape: (384, 2)
decoder_blocks.8.attn.meta_mlp.fc1.bias                      | shape: (384,)
decoder_blocks.8.attn.meta_mlp.fc2.weight                    | shape: (16, 384)
decoder_blocks.8.attn.meta_mlp.fc2.bias                      | shape: (16,)
decoder_blocks.8.norm1.weight                                | shape: (512,)
decoder_blocks.8.norm1.bias                                  | shape: (512,)
decoder_blocks.8.mlp.fc1.weight                              | shape: (2048, 512)
decoder_blocks.8.mlp.fc1.bias                                | shape: (2048,)
decoder_blocks.8.mlp.fc2.weight                              | shape: (512, 2048)
decoder_blocks.8.mlp.fc2.bias                                | shape: (512,)
decoder_blocks.8.norm2.weight                                | shape: (512,)
decoder_blocks.8.norm2.bias                                  | shape: (512,)
decoder_blocks.9.attn.tau                                    | shape: (16,)
decoder_blocks.9.attn.qkv.weight                             | shape: (1536, 512)
decoder_blocks.9.attn.qkv.bias                               | shape: (1536,)
decoder_blocks.9.attn.proj.weight                            | shape: (512, 512)
decoder_blocks.9.attn.proj.bias                              | shape: (512,)
decoder_blocks.9.attn.meta_mlp.fc1.weight                    | shape: (384, 2)
decoder_blocks.9.attn.meta_mlp.fc1.bias                      | shape: (384,)
decoder_blocks.9.attn.meta_mlp.fc2.weight                    | shape: (16, 384)
decoder_blocks.9.attn.meta_mlp.fc2.bias                      | shape: (16,)
decoder_blocks.9.norm1.weight                                | shape: (512,)
decoder_blocks.9.norm1.bias                                  | shape: (512,)
decoder_blocks.9.mlp.fc1.weight                              | shape: (2048, 512)
decoder_blocks.9.mlp.fc1.bias                                | shape: (2048,)
decoder_blocks.9.mlp.fc2.weight                              | shape: (512, 2048)
decoder_blocks.9.mlp.fc2.bias                                | shape: (512,)
decoder_blocks.9.norm2.weight                                | shape: (512,)
decoder_blocks.9.norm2.bias                                  | shape: (512,)
decoder_blocks.10.attn.tau                                   | shape: (16,)
decoder_blocks.10.attn.qkv.weight                            | shape: (1536, 512)
decoder_blocks.10.attn.qkv.bias                              | shape: (1536,)
decoder_blocks.10.attn.proj.weight                           | shape: (512, 512)
decoder_blocks.10.attn.proj.bias                             | shape: (512,)
decoder_blocks.10.attn.meta_mlp.fc1.weight                   | shape: (384, 2)
decoder_blocks.10.attn.meta_mlp.fc1.bias                     | shape: (384,)
decoder_blocks.10.attn.meta_mlp.fc2.weight                   | shape: (16, 384)
decoder_blocks.10.attn.meta_mlp.fc2.bias                     | shape: (16,)
decoder_blocks.10.norm1.weight                               | shape: (512,)
decoder_blocks.10.norm1.bias                                 | shape: (512,)
decoder_blocks.10.mlp.fc1.weight                             | shape: (2048, 512)
decoder_blocks.10.mlp.fc1.bias                               | shape: (2048,)
decoder_blocks.10.mlp.fc2.weight                             | shape: (512, 2048)
decoder_blocks.10.mlp.fc2.bias                               | shape: (512,)
decoder_blocks.10.norm2.weight                               | shape: (512,)
decoder_blocks.10.norm2.bias                                 | shape: (512,)
decoder_blocks.11.attn.tau                                   | shape: (16,)
decoder_blocks.11.attn.qkv.weight                            | shape: (1536, 512)
decoder_blocks.11.attn.qkv.bias                              | shape: (1536,)
decoder_blocks.11.attn.proj.weight                           | shape: (512, 512)
decoder_blocks.11.attn.proj.bias                             | shape: (512,)
decoder_blocks.11.attn.meta_mlp.fc1.weight                   | shape: (384, 2)
decoder_blocks.11.attn.meta_mlp.fc1.bias                     | shape: (384,)
decoder_blocks.11.attn.meta_mlp.fc2.weight                   | shape: (16, 384)
decoder_blocks.11.attn.meta_mlp.fc2.bias                     | shape: (16,)
decoder_blocks.11.norm1.weight                               | shape: (512,)
decoder_blocks.11.norm1.bias                                 | shape: (512,)
decoder_blocks.11.mlp.fc1.weight                             | shape: (2048, 512)
decoder_blocks.11.mlp.fc1.bias                               | shape: (2048,)
decoder_blocks.11.mlp.fc2.weight                             | shape: (512, 2048)
decoder_blocks.11.mlp.fc2.bias                               | shape: (512,)
decoder_blocks.11.norm2.weight                               | shape: (512,)
decoder_blocks.11.norm2.bias                                 | shape: (512,)
decoder_blocks.12.attn.tau                                   | shape: (16,)
decoder_blocks.12.attn.qkv.weight                            | shape: (1536, 512)
decoder_blocks.12.attn.qkv.bias                              | shape: (1536,)
decoder_blocks.12.attn.proj.weight                           | shape: (512, 512)
decoder_blocks.12.attn.proj.bias                             | shape: (512,)
decoder_blocks.12.attn.meta_mlp.fc1.weight                   | shape: (384, 2)
decoder_blocks.12.attn.meta_mlp.fc1.bias                     | shape: (384,)
decoder_blocks.12.attn.meta_mlp.fc2.weight                   | shape: (16, 384)
decoder_blocks.12.attn.meta_mlp.fc2.bias                     | shape: (16,)
decoder_blocks.12.norm1.weight                               | shape: (512,)
decoder_blocks.12.norm1.bias                                 | shape: (512,)
decoder_blocks.12.mlp.fc1.weight                             | shape: (2048, 512)
decoder_blocks.12.mlp.fc1.bias                               | shape: (2048,)
decoder_blocks.12.mlp.fc2.weight                             | shape: (512, 2048)
